start,start_state,digit_multiset,x,y,first_result,first_result_state,distance_to_6174,trajectory
169,0169,0169,9,5,9441,9441,7.0,0169 -> 9441 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
179,0179,0179,9,6,9531,9531,7.0,0179 -> 9531 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
186,0186,0168,8,5,8442,8442,7.0,0186 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
195,0195,0159,9,4,9351,9351,7.0,0195 -> 9351 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
196,0196,0169,9,5,9441,9441,7.0,0196 -> 9441 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
197,0197,0179,9,6,9531,9531,7.0,0197 -> 9531 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
205,0205,0025,5,2,5175,5175,7.0,0205 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
214,0214,0124,4,1,4086,4086,7.0,0214 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
215,0215,0125,5,1,5085,5085,7.0,0215 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
216,0216,0126,6,1,6084,6084,7.0,0216 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
234,0234,0234,4,1,4086,4086,7.0,0234 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
