start,start_state,is_repdigit,distinct_digits,digit_multiset,x,y,descending,ascending,first_result,first_result_state,trajectory,final_attractor,final_attractor_state,iterations_to_attractor,distance_to_6174,distance_to_0000,reaches_6174,reaches_0000,other_cycle_detected,cycle_length,cycle
1147,1147,False,3,1147,6,3,7411,1147,6264,6264,1147 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
1148,1148,False,3,1148,7,3,8411,1148,7263,7263,1148 -> 7263 -> 5265 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
1149,1149,False,3,1149,8,3,9411,1149,8262,8262,1149 -> 8262 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
1150,1150,False,3,0115,5,0,5110,115,4995,4995,1150 -> 4995 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
1151,1151,False,2,1115,4,0,5111,1115,3996,3996,1151 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
1152,1152,False,3,1125,4,1,5211,1125,4086,4086,1152 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
1153,1153,False,3,1135,4,2,5311,1135,4176,4176,1153 -> 4176 -> 6174 -> 6174,6174,6174,2,2,,True,False,False,1,6174 -> 6174
1154,1154,False,3,1145,4,3,5411,1145,4266,4266,1154 -> 4266 -> 4176 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
1155,1155,False,2,1155,4,4,5511,1155,4356,4356,1155 -> 4356 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
1156,1156,False,3,1156,5,4,6511,1156,5355,5355,1156 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
1157,1157,False,3,1157,6,4,7511,1157,6354,6354,1157 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
